foodId,foodName,calories,protein,fat,carbs
10F40019,"Marhahús, kivonat, bonox",96,16.6,0.2,6.5
13A12001,"Bazsalikom, szárítva",258,18.2,5.5,15.5
10E10113,"Kardamom, magvak, őrölt",319,10.8,6.7,40.5
10E10098,Chili (chili) por,344,12.3,16.8,20.5
10E10107,"Chili (chili), szárítva, őrölve",376,14.1,16.8,29.6
10E10099,"Fahéj, szárított, őrölt",245,4.2,2.7,25.5
10E10106,"Szegfűszeg, szárítva, őrölve",367,6,17.3,30.8
10E10100,"Koriandermag szárítva, őrölve",353,13,19.8,10.5
10E10093,"Kömény (kömény) mag, szárítva, őrölve",458,18.4,25.8,33.3
10E10096,curry por,349,12.7,13.8,30.9
10E10112,Görögszéna mag,329,23,6.4,33.8
10E10101,"Gyömbér, szárítva, őrölve",339,8.5,4.6,58.6
10E10115,"Gyógynövények, keverve, szárítva",289,11.1,9,22
10E10095,Mustárpor,547,29.4,39.5,17.2
10E10102,"Szerecsendió, szárított, őrölt",506,6.4,37.6,27.5
10E10105,"Oregánó vagy majoránna, szárítva",262,9,4.3,26.4
10E10110,"Paprika, száraz por",313,14.1,12.9,19.1
10E10097,"Bors, őrölt, fekete vagy fehér",289,10.7,2.7,42.1
10E10116,"Rozmaring, szárítva",336,9.5,16.7,18.9
10E10111,"Zsálya, szárítva",315,10.6,12.8,20.4
10F60105,"Sópótló, kálium-klorid",0,0,0,0
10F60107,"Só, főzés",0,0,0,0
10F60104,"Só, ízesített",0,0,0,0
10F60102,"Só, kő",0,0,0,0
10F60103,"Só, tenger",0,0,0,0
10F60101,"Só, asztali, jódozott",0,0,0,0
10F60097,"Só, asztali, nem jódozott",0,0,0,0
10F60112,"Só, további meghatározása nélkül",0,0,0,0
10F60108,"Fűszeres keverék, chili alapú, tacohoz",241,5.9,4.1,39.7
10E10114,"Fűszer, vegyes vagy minden fűszer",373,5.5,19.2,27.9
10F60111,"Alap, száraz por vagy kocka",215,11.3,8.9,22.5
10F60113,"Alaplé, folyékony, minden íz (a hal kivételével), kereskedelmi forgalomban kapható porból vagy kockából",4,0.2,0.2,0.4
10C10559,"Alapos, folyékony, minden ízben (kivéve a halat), házi alapanyagokból",16,2.3,0.8,0
10C10501,"Készlet, folyékony, hal, kereskedelmi",6,0.7,0.1,0.6
10C10500,"Alapos, folyékony, halas, házi alapanyagokból",16,2.3,0.8,0
10F60114,"Alaplé, száraz por vagy kocka, csökkentett só",215,11.3,8.9,22.5
10F60115,"Alaplé, folyékony, minden ízű, csökkentett só, kereskedelmi porból vagy kockából készítve",4,0.2,0.2,0.4
10E10103,"Kakukkfű, szárított, őrölt",275,8.1,6,29.1
10E10104,"Kurkuma, szárított, őrölt",330,7.7,8.6,46.3
14B10174,"Sütőpor, száraz por",86,0,0.1,20.8
14B10166,"Szódabikarbóna (bikarbonát), száraz por",0,0,0,0
14B10167,"Krém fogkő, száraz por",0,0,0,0
10F60109,"Zselatin, mindenféle",346,84.4,0.4,0
13B20222,"Lecitin, szója, granulátum",626,6,62.4,4.9
10F60110,"Vanília, mesterséges",55,0,0,14.4
10F30010,"Élesztő, pék, préselt",109,13.6,2,4.9
10F30011,"Élesztő, száraz por",255,36.4,5,6.3
14B10182,Koffein,0,0,0,0
14B10172,Kalcium,0,0,0,0
14B10173,Rost,191,0,0,0
14B10168,Folsav,0,0,0,0
14B10179,Jód,0,0,0,0
14B10181,maltodextrin,406,0,0,100
14B10176,Oligoszacharid,406,0,0,100
14B10180,tiamin,0,0,0,0
14B10169,Béta karotin,0,0,0,0
14B10170,C vitamin,0,0,0,0
14B10171,E vitamin,0,0,0,0
01A10079,"Sör, lager vagy ale stílusú (alkohol 5% v/v és több)",36,0.4,0,1.4
01A10082,"Sör, lager vagy ale stílusú (alkohol 4,6% v/v)",34,0.3,0,2
01A10094,"Sör, lager vagy ale stílusú, közepes erősségű (alkohol 3,5% v/v)",29,0.3,0,2.3
01A10085,"Sör, lager vagy ale stílusú, csökkentett alkoholtartalmú vagy világos sör (2,5% v/v alkohol)",25,0.3,0,2.3
01A10097,Ízesített sör (4% v/v alkohol),34,0.3,0,2
01A10081,"Sör, házi főzés, teljes erővel",37,0.5,0,2
01A10086,"Sör, házi főzés, csökkentett alkoholtartalmú, közepes erősségű vagy világos sör",26,0.5,0,2.2
01A10084,Stout sör (6 térfogatszázalék alkohol),53,0.6,0,3
01A10092,"Sör, nincs tovább definiálva",33,0.3,0,2
01A30161,Gyomorkeserű,321,0.1,0.5,1.3
01A30139,Pálinka,214,0,0,0.3
01A30170,"Brandy, főtt",72,0,0,0.3
01A30166,Cointreau,310,0,0,24
01A30148,"Almaboros, almás, alkoholos, csapolt stílusban",44,0,0,4.4
01A30149,"Almabor, alma, alkoholos, száraz stílusban",38,0,0,3.1
01A30150,"Almaboros, almás, alkoholos, édes stílusban",53,0,0,6.9
01A30163,"Almabor, alma, alkoholos, tovább nem definiálva",44,0,0,4.6
01A30182,"Almabor, körte (körte), alkoholos",47,0,0,5.5
01A30154,100% etanol,693,0,0,0
01A30141,Gin,215,0,0,0
01A30145,"Likőr, advocaat",243,4.2,5.8,24.4
01A30146,"Likőr, tejszín alapú, kávé ízű",326,2.8,15.7,20.9
01A30147,"Likőr, tejszín alapú, nem kávé ízek",330,2.9,16.2,21.5
01A30186,"Likőr, 25% v/v alkohol, nem tejszín alapú",154,0,0,3.8
01A20126,Mirin,250,0.4,0,44.5
01A30142,Ouzo,212,0,0,0.1
01A20118,Kikötő,143,0.2,0,12.4
01A30143,"Rumos, sötét és világos színű",212,0,0,0
01A20116,"Sherry, száraz mód (~ 1% cukor)",104,0.1,0,1.2
01A20117,"Sherry, édes stílus (~11% cukor)",138,0.2,0,11.1
01A20127,"Sherry, nincs tovább definiálva",124,0.2,0,7.1
01A30175,Tequila,212,0,0,0.1
01A30144,Vodka,212,0,0,0.1
01A30140,Whisky vagy skót,213,0,0,0
01A30191,"Szellem, tovább nem definiálva",218,0.1,0.4,2.6
01A30183,"Koktél, tejszín vagy tej alapú",175,1.2,8.1,2.9
01A30189,"Koktél, gyümölcslé alapú",117,0.2,0.2,3.5
01A30190,"Koktél, üdítő alapú",98,0.1,0.2,5
01A30155,"Vegyes ital, gin & tonic, kereskedelmi, előre kevert",56,0,0,7.7
01A30152,"Vegyes ital, rum és kóla, előre keverve",61,0,0,9.2
01A30188,"Vegyes ital, szeszes és energiaital",67,0.1,0,8.9
01A30192,"Vegyes ital, szeszes és nem kóla ízű üdítő, házilag keverve",57,0,0,8.2
01A30167,"Vegyes ital, szeszes ital és szóda, házilag keverve",26,0,0,0
01A30165,"Vegyes ital, alkohol és tonik, házilag keverve",56,0,0,7.7
01A30177,"Vegyes ital, vodka és gyümölcslé, házilag keverve",59,0.3,0,2.6
01A30158,"Vegyes ital, vodka és nem kóla ízű üdítő, kereskedelmi, előkevert",57,0,0,8.2
01A30153,"Vegyes ital, whisky vagy skót és jég",107,0,0,0
01A30159,"Vegyes ital, whisky vagy skót és hagyományos kóla, kereskedelmi, előre kevert",61,0,0,9.2
01A30164,"Vegyes ital, whisky vagy skót és hagyományos kóla, házilag keverve",61,0,0,9.2
01A30187,"Vegyes ital, whisky vagy skót és diétás üdítőital",31,0,0,0
01A30160,"Vegyes ital, whisky vagy skót és száraz, kereskedelmi, előre kevert",59,0,0,8.6
01A20129,"Vegyes ital, bor és hagyományos kóla üdítő, házilag keverve",59,0.1,0,5.2
01A20122,"Borhűtő, bor és gyümölcslé keverék, minden íz",51,0.1,0,7.6
01A20107,Bor vörös,77,0.2,0,0
01A20120,"Bor, vörös, csökkentett alkohol",47,0.2,0,0
01A20109,"Bor, vörös, pezsgő",81,0.2,0,2
01A20110,"Bor, vörös, főtt",23,0.2,0,0
01A20108,"Bor, rózsa",79,0.2,0,3.6
01A20111,"Bor, fehér, száraz módra (cukortartalom < 1%)",71,0.2,0,0.3
01A20112,"Bor, fehér, közepesen száraz módra (~ 1% cukor)",74,0.2,0,1.1
01A20113,"Bor, fehér, közepesen édes stílus (~ 2,5% cukor)",64,0.2,0,2.6
01A20119,"Bor, fehér, csökkentett alkohol",41,0.2,0,1.1
01A20115,"Bor, fehér, főtt",26,0.2,0,1.2
01A20125,"Bor, fehér, tovább nem definiálva",71,0.2,0,0.6
01A20114,"Bor, fehér, pezsgő",70,0.2,0,1
01A20121,"Bor, fehér, pezsgő, alkoholmentes",7,0.2,0,1
01A20123,"Bor, fehér, édes desszert stílusban",96,0.2,0,10
01A20128,"Bor, további meghatározása nélkül",74,0.2,0,0.4
01B10322,Kakaópor,345,16.1,14.4,24.4
01B10523,"Ital alap, banán ízű (Nesquik márka)",381,0,0,99.5
01B10319,"Italalap, csokoládé ízű, nem erősített (Nesquik márka)",390,4.7,3.4,88.3
01B10316,"Italalap, csokoládé íz, hozzáadott A- és B3- és Fe-vitamin",382,9.3,2.9,81.2
01B10315,"Italalap, csokoládé aroma, hozzáadott A-, B1-, B2-, C-, D- és folsav, Ca és Fe (Milo)",398,12.7,10.4,61.2
01B10525,"Italalap, csokoládé íz, hozzáadott A-, B1-, B2-, B3-, C-, D- és folsav- és Ca-vitamin (Aktavite)",359,4.4,1.9,79.3
01B10318,"Ital alap, ivócsokoládé, dúsítatlan",360,5.6,4.8,76.3
01B10323,"Ital alap, maláta tejpor, dúsítatlan",403,11.7,7.2,74.5
01B10317,"Ital alap, maláta tejpor, hozzáadott A-, B1-, B2-, B3-, B6-, B12-vitamin, biotin, C, DE és folsav, Ca és Zn",378,9.4,3,77.7
01B10557,"Italalap, maláta csokoládé íz, hozzáadott A-, B1-, B2-, C-, D- és folsav, Ca és Fe (Milo maláta)",402,12.7,9.6,66.7
01B10522,"Italalap, eper ízű, dúsítatlan (Nesquik márka)",381,0,0,99.6
01B10524,"Italalap, eper ízű, szívószálból, hozzáadott cukrot és intenzív édesítőszert tartalmaz, dúsítatlan",374,0.2,0,94.7
01B10328,"Ital, csokoládé ízű, kakaóporból, tehéntejjel",68,3.7,2.4,7.8
01B10329,"Ital, csokoládé ízű, csokoládé ivásból, normál zsíros tehéntejjel",87,3.5,3.5,10.8
01B10553,"Ital, csokoládé ízű, csokoládé ivásból, csökkentett zsírtartalmú tehéntejjel",69,3.9,1.6,10.1
01B10554,"Ital, csokoládé ízű, csokoládé ivásból, sovány tehéntejjel",56,3.7,0.4,9.7
01B10555,"Ital, csokoládé ízű, csokoládé ivásból, szójatejjel",72,3.4,2.1,9.8
01B10564,"Ital, csokoládé ízű, csokoládé ivásból, vízzel",25,0.4,0.3,5.3
01B10327,"Ital, csokoládé ízű, eredeti Milo porból, tehéntejjel",86,4.3,3,10.5
01B10563,"Ital, csokoládé ízű, eredeti Milo porból, szójatejjel",82,4.1,2.7,9.9
01B10560,"Ital, csokoládé ízű, Ovaltine porból, tehéntejjel",74,3.8,2.3,9.7
01B10486,"Chai latte, száraz por keverék tejszárazanyagot és cukrot tartalmaz",394,10.2,6.6,75.7
01B10487,"Chai latte, chai mix porból és vízből készül, hozzáadott tej nélkül",35,0.9,0.6,6.6
